recording_id,audio_path,folder_name,original_label_id,duration_total_sec,label_id,split,cached_audio_path,duration_sec,preprocessed,audio_path_original,clip_id,start_sec
Andean Guan_sound/Andean Guan10,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan10.wav,Andean Guan_sound,0,7.248,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan10.wav,5.0,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan10.mp3,Andean Guan_sound/Andean Guan10__0000,0.0
Andean Guan_sound/Andean Guan11,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan11.wav,Andean Guan_sound,0,18.816,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan11.wav,5.0,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3,Andean Guan_sound/Andean Guan11__0000,0.0
Andean Guan_sound/Andean Guan11,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan11.wav,Andean Guan_sound,0,18.816,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan11.wav,5.0,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3,Andean Guan_sound/Andean Guan11__0001,5.0
Andean Guan_sound/Andean Guan11,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan11.wav,Andean Guan_sound,0,18.816,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan11.wav,5.0,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3,Andean Guan_sound/Andean Guan11__0002,10.0
Andean Guan_sound/Andean Guan12,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan12.wav,Andean Guan_sound,0,14.368,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan12.wav,5.0,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan12.mp3,Andean Guan_sound/Andean Guan12__0000,0.0
Andean Guan_sound/Andean Guan12,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan12.wav,Andean Guan_sound,0,14.368,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan12.wav,5.0,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan12.mp3,Andean Guan_sound/Andean Guan12__0001,5.0
Andean Guan_sound/Andean Guan13,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,Andean Guan_sound,0,27.024,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,5.0,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3,Andean Guan_sound/Andean Guan13__0000,0.0
Andean Guan_sound/Andean Guan13,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,Andean Guan_sound,0,27.024,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,5.0,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3,Andean Guan_sound/Andean Guan13__0001,5.0
Andean Guan_sound/Andean Guan13,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,Andean Guan_sound,0,27.024,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,5.0,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3,Andean Guan_sound/Andean Guan13__0002,10.0
Andean Guan_sound/Andean Guan13,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,Andean Guan_sound,0,27.024,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,5.0,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3,Andean Guan_sound/Andean Guan13__0003,15.0
