audio_path,relative_path,folder_name,common_name_folder,file_name,file_size_bytes,readable,samplerate,channels,frames,duration_sec,format,subtype,sha256
D:\other\Bird\Dataset\CC0\Collared Brushturkey_sound\Collared Brushturkey16.mp3,Collared Brushturkey_sound\Collared Brushturkey16.mp3,Collared Brushturkey_sound,Collared Brushturkey,Collared Brushturkey16.mp3,3314959,True,44100,2,3654385,82.86587301587302,MP3,MPEG_LAYER_III,01c0aaf2aa3fb0f3adc73b416cee7806e0988b6186b46d5f991414fab8930d3b
D:\other\Bird\Dataset\CC0\Collared Brushturkey_sound\Collared Brushturkey18.mp3,Collared Brushturkey_sound\Collared Brushturkey18.mp3,Collared Brushturkey_sound,Collared Brushturkey,Collared Brushturkey18.mp3,3314959,True,44100,2,3654385,82.86587301587302,MP3,MPEG_LAYER_III,01c0aaf2aa3fb0f3adc73b416cee7806e0988b6186b46d5f991414fab8930d3b
D:\other\Bird\Dataset\CC0\Collared Brushturkey_sound\Collared Brushturkey15.mp3,Collared Brushturkey_sound\Collared Brushturkey15.mp3,Collared Brushturkey_sound,Collared Brushturkey,Collared Brushturkey15.mp3,3314959,True,44100,2,3654385,82.86587301587302,MP3,MPEG_LAYER_III,01c0aaf2aa3fb0f3adc73b416cee7806e0988b6186b46d5f991414fab8930d3b
D:\other\Bird\Dataset\CC0\Collared Brushturkey_sound\Collared Brushturkey14.mp3,Collared Brushturkey_sound\Collared Brushturkey14.mp3,Collared Brushturkey_sound,Collared Brushturkey,Collared Brushturkey14.mp3,3314959,True,44100,2,3654385,82.86587301587302,MP3,MPEG_LAYER_III,01c0aaf2aa3fb0f3adc73b416cee7806e0988b6186b46d5f991414fab8930d3b
D:\other\Bird\Dataset\CC0\Collared Brushturkey_sound\Collared Brushturkey17.mp3,Collared Brushturkey_sound\Collared Brushturkey17.mp3,Collared Brushturkey_sound,Collared Brushturkey,Collared Brushturkey17.mp3,3314959,True,44100,2,3654385,82.86587301587302,MP3,MPEG_LAYER_III,01c0aaf2aa3fb0f3adc73b416cee7806e0988b6186b46d5f991414fab8930d3b
D:\other\Bird\Dataset\CC0\White-winged Guan_sound\White-winged Guan17.mp3,White-winged Guan_sound\White-winged Guan17.mp3,White-winged Guan_sound,White-winged Guan,White-winged Guan17.mp3,463172,True,48000,1,3705376,77.19533333333334,MP3,MPEG_LAYER_III,02fdaca6b48e17910216610d1835c74a8d979b4d6e9aab253e210a31a34985be
D:\other\Bird\Dataset\CC0\White-winged Guan_sound\White-winged Guan16.mp3,White-winged Guan_sound\White-winged Guan16.mp3,White-winged Guan_sound,White-winged Guan,White-winged Guan16.mp3,463172,True,48000,1,3705376,77.19533333333334,MP3,MPEG_LAYER_III,02fdaca6b48e17910216610d1835c74a8d979b4d6e9aab253e210a31a34985be
D:\other\Bird\Dataset\CC0\White-winged Guan_sound\White-winged Guan15.mp3,White-winged Guan_sound\White-winged Guan15.mp3,White-winged Guan_sound,White-winged Guan,White-winged Guan15.mp3,463172,True,48000,1,3705376,77.19533333333334,MP3,MPEG_LAYER_III,02fdaca6b48e17910216610d1835c74a8d979b4d6e9aab253e210a31a34985be
D:\other\Bird\Dataset\CC0\Rufous-vented Chachalaca_sound\Rufous-vented Chachalaca3.mp3,Rufous-vented Chachalaca_sound\Rufous-vented Chachalaca3.mp3,Rufous-vented Chachalaca_sound,Rufous-vented Chachalaca,Rufous-vented Chachalaca3.mp3,36321,True,22050,1,114321,5.184625850340136,MP3,MPEG_LAYER_III,035e065e152532b924f7f3e5daad0de12c745576fbe99fe55f1d3dd0edb9f5d5
D:\other\Bird\Dataset\CC0\Rufous-vented Chachalaca_sound\Rufous-vented Chachalaca2.mp3,Rufous-vented Chachalaca_sound\Rufous-vented Chachalaca2.mp3,Rufous-vented Chachalaca_sound,Rufous-vented Chachalaca,Rufous-vented Chachalaca2.mp3,36321,True,22050,1,114321,5.184625850340136,MP3,MPEG_LAYER_III,035e065e152532b924f7f3e5daad0de12c745576fbe99fe55f1d3dd0edb9f5d5
D:\other\Bird\Dataset\CC0\White-throated Tinamou_sound\White-throated Tinamou7.mp3,White-throated Tinamou_sound\White-throated Tinamou7.mp3,White-throated Tinamou_sound,White-throated Tinamou,White-throated Tinamou7.mp3,1060656,True,48000,2,2121056,44.18866666666667,MP3,MPEG_LAYER_III,03666c55d4355ab953420f44cb8b0e87968229535ab7f693a00ceccb832be016
D:\other\Bird\Dataset\CC0\White-throated Tinamou_sound\White-throated Tinamou6.mp3,White-throated Tinamou_sound\White-throated Tinamou6.mp3,White-throated Tinamou_sound,White-throated Tinamou,White-throated Tinamou6.mp3,1060656,True,48000,2,2121056,44.18866666666667,MP3,MPEG_LAYER_III,03666c55d4355ab953420f44cb8b0e87968229535ab7f693a00ceccb832be016
D:\other\Bird\Dataset\CC0\Hooded Tinamou_sound\Hooded Tinamou8.mp3,Hooded Tinamou_sound\Hooded Tinamou8.mp3,Hooded Tinamou_sound,Hooded Tinamou,Hooded Tinamou8.mp3,4088876,True,48000,1,1362944,28.394666666666666,WAV,PCM_24,04855fd9ba96912ad3d6a6237f720cda63517916771eaff1c83ecc1eb0e10b36
D:\other\Bird\Dataset\CC0\Hooded Tinamou_sound\Hooded Tinamou9.mp3,Hooded Tinamou_sound\Hooded Tinamou9.mp3,Hooded Tinamou_sound,Hooded Tinamou,Hooded Tinamou9.mp3,4088876,True,48000,1,1362944,28.394666666666666,WAV,PCM_24,04855fd9ba96912ad3d6a6237f720cda63517916771eaff1c83ecc1eb0e10b36
D:\other\Bird\Dataset\CC0\Dusky-legged Guan_sound\Dusky-legged Guan29.mp3,Dusky-legged Guan_sound\Dusky-legged Guan29.mp3,Dusky-legged Guan_sound,Dusky-legged Guan,Dusky-legged Guan29.mp3,646332,True,48000,1,1292408,26.925166666666666,MP3,MPEG_LAYER_III,0709599658dedaeca12d9a63cacff99bb665894481887062c15512d106eee5ab
